"node_id","name","address","description","latitude","longitude","node_distance","cost"
"?","ИВН-РМС-101-С2","","Стационарная камера",54.16071066993078,45.15936742370475,"?","?"
"?","ИВН-РМС-101-С3","","Стационарная камера",54.16032186571861,45.1592708641802,"?","?"
"?","ИВН-РМС-104-С1","","Стационарная камера",54.84312282861595,46.24296377246704,"?","?"
"?","ИВН-РМС-104-С2","","Стационарная камера",54.84317081389004,46.24299864118425,"?","?"
"?","ИВН-РМС-104-С3","","Стационарная камера",54.84322189492566,46.24303619211046,"?","?"
"?","ИВН-РМС-104-П1","","Поворотная камера",54.84323737398565,46.24311397617176,"?","?"
"?","ИВН-РМС-105-С2","","Стационарная камера",54.42690903800585,43.80104849880031,"?","?"
"?","ИВН-РМС-105-П1","","Поворотная камера",54.42693406055194,43.80112628286174,"?","?"
"?","ИВН-РМС-105-С3","","Стационарная камера",54.42689027104306,43.80120674913216,"?","?"
"?","ИВН-РМС-105-С1","","Стационарная камера",54.42683553416611,43.80095193927578,"?","?"
"?","ИВН-РМС-105-С6","","Стационарная камера",54.42662440540466,43.80126307552151,"?","?"
"?","ИВН-РМС-105-С5","","Стационарная камера",54.42667445083952,43.80141059701732,"?","?"
"?","ИВН-РМС-105-С4","","Стационарная камера",54.4267385714632,43.80143205468944,"?","?"
"?","ИВН-РМС-106-С1","","Стационарная камера",54.03904835533125,43.91156930051818,"?","?"
"?","ИВН-РМС-106-С2","","Стационарная камера",54.03913202869307,43.9114620121576,"?","?"
"?","ИВН-РМС-106-С3","","Стационарная камера",54.03917939089457,43.91151029191987,"?","?"
"?","ИВН-РМС-106-С4","","Стационарная камера",54.03927253640302,43.91196090303436,"?","?"
"?","ИВН-РМС-106-С5","","Стационарная камера",54.03925359156628,43.91205478034988,"?","?"
"?","ИВН-РМС-106-П1","","Поворотная камера",54.03918728458264,43.91209769569411,"?","?"
"?","ИВН-РМС-106-С7","","Стационарная камера",54.0391367649047,43.91203600488679,"?","?"
"?","ИВН-РМС-107-С5","","Стационарная камера",54.62401952116082,43.23128867469774,"?","?"
"?","ИВН-РМС-107-С4","","Стационарная камера",54.62411445804351,43.23138791643131,"?","?"
"?","ИВН-РМС-107-С1","","Стационарная камера",54.62418293696827,43.23080319486605,"?","?"
"?","ИВН-РМС-107-С2","","Стационарная камера",54.6242654227685,43.23083806358317,"?","?"
"?","ИВН-РМС-107-С3","","Стационарная камера",54.62426697911737,43.23099363170611,"?","?"
"?","ИВН-РМС-107-П1","","Поворотная камера",54.62430900013123,43.23091584764468,"?","?"
"?","ИВН-РМС-108-С1","","Стационарная камера",54.0809617138159,42.83722389064756,"?","?"
"?","ИВН-РМС-108-С2","","Стационарная камера",54.08097433096713,42.83741432748763,"?","?"
"?","ИВН-РМС-108-С3","","Стационарная камера",54.08086077642898,42.83740628086056,"?","?"
"?","ИВН-РМС-108-С4","","Стационарная камера",54.08086866217062,42.83721316181151,"?","?"
"?","ИВН-РМС-109-П1","","Поворотная камера",54.0566338208823,44.94885744336201,"?","?"
"?","ИВН-РМС-109-С1","","Стационарная камера",54.0566432893167,44.94854094269824,"?","?"
"?","ИВН-РМС-109-С2","","Стационарная камера",54.05626612818132,44.94882525685382,"?","?"
"?","ИВН-РМС-109-С3","","Стационарная камера",54.05630873651499,44.9488923120792,"?","?"
"?","ИВН-РМС-110-С2","","Стационарная камера",54.05576587148321,44.94928659680435,"?","?"
"?","ИВН-РМС-110-С1","","Стационарная камера",54.05576271527041,44.94995446684906,"?","?"
"?","ИВН-РМС-110-С3","","Стационарная камера",54.05577376201415,44.94859995129654,"?","?"
"?","ИВН-РМС-110-П1","","Поворотная камера",54.05575955905738,44.94849266293595,"?","?"
"?","ИВН-РМС-110-С4","","Стационарная камера",54.05557649828913,44.94851412060806,"?","?"
"?","ИВН-РМС-110-С5","","Стационарная камера",54.05554651412051,44.94888426545212,"?","?"
"?","ИВН-РМС-110-С6","","Стационарная камера",54.05554651412051,44.94971843245575,"?","?"
"?","ИВН-РМС-110-П2","","Поворотная камера",54.05553231108572,44.9499812889392,"?","?"
"?","ИВН-РМС-110-С7","","Стационарная камера",54.05559859187312,44.95002688649247,"?","?"
"?","ИВН-РМС-111-П1","","Поворотная камера",54.05736604032423,44.94876356604629,"?","?"
"?","ИВН-РМС-111-С1","","Стационарная камера",54.05753962493939,44.94876088383728,"?","?"
"?","ИВН-РМС-111-С2","","Стационарная камера",54.05760590250553,44.94875015500123,"?","?"
"?","ИВН-РМС-111-С3","","Стационарная камера",54.05780157851684,44.94872333291107,"?","?"
"?","ИВН-РМС-112-С6","","Стационарная камера",54.18930207381213,45.2354219723038,"?","?"
"?","ИВН-РМС-112-С5","","Стационарная камера",54.18936027499019,45.23548098090212,"?","?"
"?","ИВН-РМС-112-С2","","Стационарная камера",54.18980543262954,45.23551584961932,"?","?"
"?","ИВН-РМС-112-П1","","Поворотная камера",54.18971419926439,45.23557217600855,"?","?"
"?","ИВН-РМС-112-С1","","Стационарная камера",54.18981329752186,45.23568482878718,"?","?"
"?","ИВН-РМС-112-С3","","Стационарная камера",54.18981958947497,45.23497136118931,"?","?"
"?","ИВН-РМС-112-С4","","Стационарная камера",54.18931465785359,45.23485870841067,"?","?"
"?","ИВН-РМС-112-С7","","Стационарная камера",54.18953802400832,45.23440005066909,"?","?"
"?","ИВН-РМС-113-C1","","Стационарная камера",54.18947667701877,45.18984587672246,"?","?"
"?","ИВН-РМС-113-П1","","Поворотная камера",54.18945780102344,45.18995048287405,"?","?"
"?","ИВН-РМС-113-C2","","Стационарная камера",54.18953645094687,45.19001753809943,"?","?"
"?","ИВН-РМС-114-C1","","Стационарная камера",54.18929735452793,45.18784494879723,"?","?"
"?","ИВН-РМС-114-П1","","Поворотная камера",54.18929735452793,45.18796296599389,"?","?"
"?","ИВН-РМС-114-C3","","Стационарная камера",54.18924544529371,45.1878610420513,"?","?"
"?","ИВН-РМС-114-C2","","Стационарная камера",54.18924229927741,45.18798710587504,"?","?"
"?","ИВН-РМС-118-С4","","Стационарная камера",54.23377992485081,45.19228936913444,"?","?"
"?","ИВН-РМС-118-С3","","Стационарная камера",54.23385220482819,45.19238324644996,"?","?"
"?","ИВН-РМС-118-П1","","Поворотная камера",54.23436601752393,45.19236178877782,"?","?"
"?","ИВН-РМС-118-С2","","Стационарная камера",54.23487982378943,45.19235910656882,"?","?"
"?","ИВН-РМС-118-С1","","Стационарная камера",54.23495995812882,45.19229473355247,"?","?"
"?","ИВН-РМС-119-С1","","Стационарная камера",54.20459199548604,45.17760427477766,"?","?"
"?","ИВН-РМС-119-П1","","Поворотная камера",54.20456998157659,45.17803342822003,"?","?"
"?","ИВН-РМС-119-С2","","Стационарная камера",54.20456683673201,45.17815949204373,"?","?"
"?","ИВН-РМС-120-С1","","Стационарная камера",54.1956570893342,45.18572057077454,"?","?"
"?","ИВН-РМС-120-П1","","Поворотная камера",54.19600781398533,45.18603975364731,"?","?"
"?","ИВН-РМС-120-С3","","Стационарная камера",54.1960109594803,45.18514926025438,"?","?"
"?","ИВН-РМС-120-С2","","Стационарная камера",54.19607386940651,45.18525386640594,"?","?"
"?","ИВН-РМС-120-С4","","Стационарная камера",54.19571528151144,45.18518144676256,"?","?"
"?","ИВН-РМС-116-С1","","Стационарная камера",54.40331428355842,45.78035021612186,"?","?"
"?","ИВН-РМС-116-С2","","Стационарная камера",54.40360533801457,45.78220094034221,"?","?"
"?","ИВН-РМС-116-С3","","Стационарная камера",54.40344885732407,45.78251744100564,"?","?"
"?","ИВН-РМС-116-С4","","Стационарная камера",54.40332680210172,45.78234041521097,"?","?"
"?","ИВН-РМС-116-П1","","Поворотная камера",54.40326733913262,45.78015173265482,"?","?"
"?","ИВН-РМС-116-С7","","Стационарная камера",54.40316719077839,45.78018391916302,"?","?"
"?","ИВН-РМС-116-С6","","Стационарная камера",54.40303574569064,45.78032875844983,"?","?"
"?","ИВН-РМС-116-С5","","Стационарная камера",54.40306078288284,45.78053797075299,"?","?"
"?","ИВН-РМС-117-С1","","Стационарная камера",53.87069170078166,44.36348403284096,"?","?"
"?","ИВН-РМС-117-П1","","Поворотная камера",53.87075986266133,44.3635269481852,"?","?"
"?","ИВН-РМС-117-С2","","Стационарная камера",53.87073291494992,44.36361546108268,"?","?"
"?","121 рубеж ИВН-РМС-9-С4","","Стационарная камера",54.20823569652199,45.12912864276777,"?","?"
"?","121 рубеж ИВН-РМС-9-С6","","Стационарная камера",54.20818852831711,45.12932712623599,"?","?"
"?","122 рубеж ИВН-РМС-9-С7","","Стационарная камера",54.17356530231661,45.17026833724582,"?","?"
"?","123 рубеж ИВН-РМС-9-С9","","Стационарная камера",54.18099205956499,45.17732522916456,"?","?"
"?","125 рубеж ИВН-РМС-9-C10","","Стационарная камера",54.16969678618447,45.19123784732437,"?","?"
"?","126 рубеж ИВН-РМС-9-П3","","Поворотная камера",54.18018133700204,45.1936813671303,"?","?"
"?","128 рубеж ИВН-РМС-9-П1","","Поворотная камера",54.14867541276165,45.22335032642297,"?","?"
"?","124 рубеж ИВН-РМС-9-С3","","Стационарная камера",54.1398805649504,45.21746824205309,"?","?"
"?","1 - БИО-САР-А1","",Биометрическая камера,54.19531226730285,45.14065366955229,"?","?"
"?","1 - БИО-САР-А2","",Биометрическая камера,54.19518487223591,45.14042568178601,"?","?"
"?","2 - БИО-САР-В1","",Биометрическая камера,54.19526980228792,45.1904569265406,"?","?"
"?","2 - БИО-САР-В2","",Биометрическая камера,54.19520846389217,45.1904622909586,"?","?"
"?","2 - БИО-2-САР-В5","",Биометрическая камера,54.19512510641597,45.19096922846222,"?","?"
"?","2 - БИО-2-САР-В4","",Биометрическая камера,54.19517071696553,45.19092094869966,"?","?"
"?","2 - БИО-2-САР-В3","",Биометрическая камера,54.19512196090169,45.19051325292993,"?","?"
"?","3 - БИО-АЭРО-1","",Биометрическая камера,54.14769116005776,45.2217448946991,"?","?"
"?","3 - БИО-АЭРО-2","",Биометрическая камера,54.1476643919145,45.22182804317856,"?","?"
"?","3 - БИО-АЭРО-4","",Биометрическая камера,54.14766124272003,45.22165638180159,"?","?"
"?","3 - БИО-АЭРО-3","",Биометрическая камера,54.14759983337981,45.22175294132614,"?","?"
"?","3 - БИО-2-АЭРО-6","",Биометрическая камера,54.13850394225141,45.21746408911121,"?","?"
"?","3 - БИО-2-АЭРО-9","",Биометрическая камера,54.13788655834783,45.21673989267719,"?","?"
"?","3 - БИО-2-АЭРО-8","",Биометрическая камера,54.137977906549,45.21695446939837,"?","?"
"?","3 - БИО-2-АЭРО-7","",Биометрическая камера,54.1382676995028,45.21673989267719,"?","?"
"?","3 - БИО-2-АЭРО-5","",Биометрическая камера,54.13867088630286,45.21944355936415,"?","?"
"?","4 - БИО-РУЗ-А2","",Биометрическая камера,54.05648361098264,44.94873088569987,"?","?"
"?","4 - БИО-РУЗ-А1","",Биометрическая камера,54.05641417545072,44.94876843662608,"?","?"
"?","5 - БИО-РУЗ-В1","",Биометрическая камера,54.05566171616989,44.94917076797827,"?","?"
"?","5 - БИО-РУЗ-В2","",Биометрическая камера,54.05566645050055,44.94928342075689,"?","?"
"?","5 - БИО-2-РУЗ-В5","",Биометрическая камера,54.05580058964415,44.95010149450643,"?","?"
"?","5 - БИО-2-РУЗ-В6","",Биометрическая камера,54.05580690206371,44.95020610065802,"?","?"
"?","5 - БИО-2-РУЗ-В3","",Биометрическая камера,54.05598207132231,44.95010149450643,"?","?"
"?","5 - БИО-2-РУЗ-В4","",Биометрическая камера,54.05598680561254,44.9501873251949,"?","?"
