node_id,object_type,type,telecom-unit_type,frontier,owner,stage,vpn,name,address,description,cam-static,cam-dynamic,cam-bio,cam-all,latitude,longitude,node_distance,cost
УС02,ivn,telecom-unit,внутренний,74,rm,1,,Щит связи для 74 рубежа,"г. Саранск, ул. Советская, 26",Здание Госсобрания,0,1,0,1,54.17909732686170,45.18547721143230,0,0
УС02,ivn,telecom-unit,внутренний,74,rm,1,,Щит связи для 74 рубежа,"г. Саранск, ул. Московская, 2",Здание Епархиального управления,3,1,0,4,54.1799375117383,45.18682368035770,200,50000
УС03,ivn,telecom-unit,внутренний,74,rm,1,,Щит связи для 74 рубежа,"г. Саранск, ул. Советская, 30",Здание Администрации г.о. Саранск,2,2,0,4,54.18069901280310,45.18544502492400,0,0
УС02,ivn,telecom-unit,внутренний,74,rm,1,,Щит связи для 74 рубежа,"г. Саранск, ул. Советская, 33",Жилое здание,1,1,0,2,54.1811773037907,45.18782682652920,200,50000
УС14,ivn,telecom-unit,внутренний,74,rm,1,,Щит связи для 74 рубежа,"г. Саранск, ул. Московская, 5",Здание Худ. школы №1 им. Рябова,1,0,0,1,54.18044570511350,45.18889434571710,100,25000
УС02,ivn,telecom-unit,внутренний,75,rm,1,,Щит связи для 75 рубежа,"г. Саранск, ул. Советская, 27",Здание Драматического театра,3,1,0,4,54.18084533264460,45.19119568105180,200,50000
УС13,ivn,telecom-unit,внутренний,75_76_126,rm,1,,"Щит связи для 75, 76 и 126 рубежей","г. Саранск, ул. Советская, 22",Здание Дома Печати,5,2,0,7,54.18013575506120,45.19344337220630,0,0
УС15,ivn,telecom-unit,внутренний,77,rm,1,,Щит связи для 77 рубежа,"г. Саранск, ул. Московская, 31/1",Здание Архива,2,0,0,2,54.17165449063960,45.18654741282740,0,0
УС05,ivn,telecom-unit,внутренний,78_81,rm,1,,Щит связи для 78 и 81 рубежей,"г. Саранск, ул. Большевистская, 60а",Здание Белый Медведь,3,0,0,3,54.18632959230150,45.18187232251420,252,63000
УС05,ivn,telecom-unit,внутренний,80,rm,1,,Щит связи для 80 рубежа,"г. Саранск, ул. Б.Хмельницкого, 35а",Здание Саранск Арена,2,0,0,2,54.18838246207510,45.1831946515583,0,0
УС13,ivn,telecom-unit,?,86,rm,2,,Щит связи для 86 рубежа,"г. Саранск, ул. А. Лусс, 6",Жилое здание,3,0,0,3,54.22779442908740,45.13710357184600,1000,250000
УС13,ivn,telecom-unit,?,89,rm,2,,Щит связи для 89 рубежа,"г. Саранск, ул. Льва Толстого, 55",Жилое здание,4,1,0,5,54.18916211735060,45.18589831824390,300,75000
УС29,ivn,telecom-unit,?,90,rm,2,,Щит связи для 90 рубежа,"г. Саранск, ул.Есенина, 14",Здание Магнит,3,0,0,3,54.2258456804031,45.12069381709240,1500,375000
УС03,ivn,telecom-unit,?,91,rm,2,,Щит связи для 91 рубежа,"г. Саранск, ул. Ульянова, 26а",Здание Медицинского института,4,1,0,5,54.16873149617110,45.13206638331490,500,125000
УС05,ivn,telecom-unit,?,92,rm,2,,Щит связи для 92 рубежа,"г. Саранск, пр. Ленина, 47",Жилое здание,1,1,0,2,54.19520361009780,45.1891774946981,400,100000
УС05,ivn,telecom-unit,?,92,rm,2,,Щит связи для 92 рубежа,"г. Саранск, пр. Ленина, 40",Жилое здание,3,0,0,3,54.19572576985140,45.18812070434620,400,100000
УС05,ivn,telecom-unit,?,92,rm,2,,Щит связи для 92 рубежа,"г. Саранск, пр. Ленина, 43",Жилое здание,0,1,0,1,54.19661279713250,45.18916140144400,400,100000
УС17,ivn,telecom-unit,?,93,rm,2,,Щит связи для 93 рубежа,"г. Саранск, ул. Ульянова, 22а",Здание Радо,1,1,0,2,54.16348886080440,45.14822820966760,300,75000
УС15,ivn,telecom-unit,?,94,rm,2,,Щит связи для 94 рубежа,"г. Саранск, ул. Транспортная, 17",Здание Саранский кооперативный институт,3,0,0,3,54.16004482102470,45.14895777051880,1000,250000
А02,ivn,telecom-unit,?,95,rm,2,,Щит связи для 95 рубежа,"г. Саранск, ул. Осипенко, 8",Здание Саранский кооперативный институт,3,0,0,3,54.15547645952700,45.16632239168100,1000,250000
А40,ivn,telecom-unit,?,96,rm,2,,Щит связи для 96 рубежа,"г. Саранск, ул. Р.Люксембург, 2",Здание Российской правовой академии ,2,1,0,3,54.17642819400780,45.1285810286321,2000,500000
УС13,ivn,telecom-unit,?,97,rm,2,,Щит связи для 97 рубежа,"г. Саранск, ул. Студенческая, 13а",МГПИ им. Евсевьева (Биологический корпус),3,1,0,4,54.16113724852340,45.15626410787460,500,125000
УС20,ivn,telecom-unit,?,98,rm,2,,Щит связи для 98 рубежа,"г. Саранск, ул. Студенческая, 13б",МГПИ им. Евсевьева (Филологический корпус),2,1,0,3,54.1612883600506,45.15570889060830,200,50000
УС20,ivn,telecom-unit,?,99,rm,2,,Щит связи для 99 рубежа,"г. Саранск, ул. Студенческая, 13",МГПИ им. Евсевьева (Психологический корпус),1,1,0,2,54.16078150433020,45.15536556785460,200,50000
УС20,ivn,telecom-unit,?,100,rm,2,,Щит связи для 100 рубежа,"г. Саранск, ул. Студенческая, 17б",МГПИ им. Евсевьева (Корпус доп. образования),2,1,0,3,54.16175743223510,45.15714655464040,200,50000
