id,type,name,address,latitude,longitude
А46,abon,МЧС,"ул. Фурманова, 15А, Саранск, Россия",54.177067,45.150214
А47,abon,РЦОВ,"Россия, Республика Мордовия, Саранск, улица Лазо, 5а",54.17599408850040,45.149495388885
А48,abon,ГКУ РМ центр занятости населения Рузаевский,"Луговая ул., 2А, Рузаевка, Россия",54.051044,44.937153
А49,abon,Региональное отделение фонда социального страхования России по Республике Мордовия,"просп. Ленина, 12А, Саранск, Россия",54.185991,45.187097
А50,abon,Левжа,Санаторий Левжа,54.106975479532400,45.09718935382050
А51,abon,Отдел внутренних дел Ленинского района г. Саранска,"ул. Степана Разина, 37, Саранск, Россия",54.191996,45.166793
А52,abon,УФСБ РФ по Республике Мордовия,"Ботевградская ул., 80А, Саранск, Россия",54.187168,45.170497
А53,abon,Управление Росреестра по Республике Мордовия,"ул. Степана Разина, 17, Саранск, Россия",54.186614,45.166613
А54,abon,Управление МВД России по Городскому Округу Саранск,"Кочкуровская ул., 1, Саранск, Россия",54.178949,45.210115
А55,abon,МЧС,"Россия, Республика Мордовия, Саранск, улица Марины Расковой",54.176106805516500,45.148962825436900
А56,abon,Фонд имущества,"ул. Большевистская, 81а",54.19070239473080,45.184334449072600
А57,abon,Торгово-промышленная палата,"Московская ул., 14, Саранск, Россия",54.17760284788370,45.18655366137650
А58,abon,Федеральная служба по надзору защиты прав потребителей и благополучия населения,"Дальняя ул., 7А, Саранск, Россия",54.188094,45.153439
А59,abon,Управление Министерства Юстиции Российской Федерации по Республике Мордовия,"ул. Степана Разина, 17А, Саранск, Россия",54.18677077962050,45.16653935581940
А60,abon,Гимназия № 19,"Коммунистическая ул., 103, Саранск, Россия",54.185376,45.164
А61,abon,ГБУЗ РМ ССМП,"Коммунистическая ул., 86А, Саранск, Россия",54.183946,45.165256
А62,abon,"Республиканская клиническая больница имени С. В. Каткова, хирургический корпус","Коммунистическая ул., 64, Саранск, Россия",54.184323,45.170192
А63,abon,Управление государственной экспертизы Республики Мордовия,"Советская ул., 109, Саранск, Россия",54.182513,45.166789
А64,abon,"Мордовская республиканская стоматологическая поликлиника, отделение № 1","Пролетарская ул., 94, Саранск, Россия",54.188248138609700,45.17631299867180
А65,abon,"Мордовская республиканская стоматологическая поликлиника, отделение № 1","Пролетарская ул., 94, Саранск, Россия",54.189236,45.176946
А66,abon,ГБУ Мордовская республиканская станция по борьбе с болезнями животных,"Пролетарская ул., 139А, Саранск, Россия",54.22331074053330,45.18467609325390
А67,abon,"Главное бюро медико-социальной экспертизы по Республике Мордовия, корпус № 2","ул. Титова, 142, Саранск, Россия",54.171401,45.157907
А68,abon,ФБУ Мордовская лаборатория судебной экспертизы Министерства Юстиции Российской Федерации,"Республиканская ул., 94, Саранск, Россия",54.172829,45.159773
А69,abon,Мордовская республиканская аварийно-спасательная служба,"ул. Лодыгина, 6, Саранск, Россия",54.219539,45.163041
А70,abon,Орган Федеральной службы по надзору в сфере здравоохранения по Республике Мордовия,"ул. Васенко, 13, Саранск, Россия",54.19532827762610,45.16710452114790
А71,abon,Новый офис ГУП РМ “НПЦ ИНТ”,"Промышленный пр., 1/1, Саранск, Россия",54.19786567700870,45.180978507934100
А72,abon,Аэль РТС Инжиниринг,"ул. Титова, 34, Саранск, Россия",54.185979,45.161047
А73,abon,Саранск Арена,"ул. Полежаева, 34, Саранск, Россия",54.188171,45.184023
А74,abon,УпрАвтоДор,"пер. Дачный, 9, Саранск, Россия",54.18890088830990,45.16448042511750
А75,abon,Экопарк на Моховой,"Россия, Республика Мордовия, Саранск, экопарк на Моховой",54.18450709568230,45.202633505278600
А76,abon,Детский парк,"ул. Грузинская, Саранск, Россия",54.174667755095400,45.17051698014810
А77,abon,ЦОДД,"ул. Лодыгина, 4, Саранск, Россия",54.21827721620840,45.16361602579470
